time,open,high,low,close,MA 20,EMA 20,60min EMA20
2012-01-03T20:30:00-05:00,2363.8787,2365.9154,2346.5997,2348.5107,,,
2012-01-03T21:30:00-05:00,2348.8293,2350.2144,2331.0421,2332.4664,,,
2012-01-03T22:30:00-05:00,2332.5211,2332.5326,2332.5141,2332.5326,,,
2012-01-03T23:30:00-05:00,2332.4013,2334.7611,2323.8484,2325.1625,,,
2012-01-04T00:30:00-05:00,2325.4273,2333.456,2310.5584,2312.3323,,,
2012-01-04T01:30:00-05:00,2311.6836,2315.162,2298.37,2299.1758,,,
2012-01-04T20:30:00-05:00,2289.3606,2308.6779,2282.3311,2290.858,,,
2012-01-04T21:30:00-05:00,2290.8667,2316.5844,2284.616,2305.9856,,,
2012-01-04T22:30:00-05:00,2306.0039,2306.5612,2306.0039,2306.5514,,,
2012-01-04T23:30:00-05:00,2306.3747,2308.1649,2300.5323,2306.5462,,,
2012-01-05T00:30:00-05:00,2306.1512,2306.1697,2275.0155,2275.9394,,,
2012-01-05T01:30:00-05:00,2275.2306,2282.909,2272.4182,2276.8846,,,
2012-01-05T20:30:00-05:00,2274.8634,2285.2478,2264.2612,2266.7969,,,
2012-01-05T21:30:00-05:00,2266.7072,2271.8124,2260.5106,2265.6222,,,
2012-01-05T22:30:00-05:00,2265.7166,2265.7817,2265.6276,2265.6417,,,
2012-01-05T23:30:00-05:00,2265.4516,2266.8236,2256.8825,2257.2941,,,
2012-01-06T00:30:00-05:00,2257.9676,2286.4969,2255.8479,2282.4132,,,
2012-01-06T01:30:00-05:00,2282.0285,2291.4256,2281.8899,2289.8268,,,
2012-01-08T20:30:00-05:00,2291.1443,2304.5604,2272.069,2304.5604,,,
2012-01-08T21:30:00-05:00,2304.735,2351.1879,2304.735,2328.1824,,2298.66416,
2012-01-08T22:30:00-05:00,2328.5658,2328.6854,2328.5293,2328.685,,2301.5232876190476,
2012-01-08T23:30:00-05:00,2329.959,2333.957,2325.2618,2333.957,,2304.61221260771,
2012-01-09T00:30:00-05:00,2333.7691,2353.5915,2330.8779,2352.0034,,2309.125659026023,
2012-01-09T01:30:00-05:00,2352.6668,2368.6087,2352.3703,2368.6087,,2314.790710547354,
2012-01-09T20:30:00-05:00,2363.263,2392.1954,2361.4973,2389.2103,,2321.878290495225,
2012-01-09T21:30:00-05:00,2389.4907,2410.5951,2385.7334,2409.6834,,2330.240681876632,
2012-01-09T22:30:00-05:00,2409.608,2409.608,2409.55,2409.575,,2337.796331221715,
2012-01-09T23:30:00-05:00,2410.4507,2429.6894,2410.4507,2429.2913,,2346.5101377720275,
2012-01-10T00:30:00-05:00,2429.5376,2449.9547,2428.0355,2446.259,,2356.010029412787,
2012-01-10T01:30:00-05:00,2445.8204,2447.2507,2437.5944,2447.2012,,2364.6949028020454,
2012-01-10T20:30:00-05:00,2443.5064,2453.0037,2433.5844,2437.6723,,2371.6451311066126,
2012-01-10T21:30:00-05:00,2437.7125,2447.7163,2432.6334,2434.6104,,2377.6418233821732,
2012-01-10T22:30:00-05:00,2434.3758,2434.3758,2434.044,2434.044,,2383.013459250538,
2012-01-10T23:30:00-05:00,2434.1652,2434.8369,2423.4057,2424.5823,,2386.9723964647724,
2012-01-11T00:30:00-05:00,2425.1978,2444.9379,2424.2607,2441.6943,,2392.1840063252703,
