Count,Mean (%),Std (%),WinRate (%),< -2% (%),< -1% (%),> 1% (%),> 2% (%),|x| < 0.5% (%),Index,Period
3863,0.013612869384375679,1.2476791947373542,52.21330572094227,4.01242557597722,13.409267408749676,14.70359823971007,4.633704374838208,45.19803261713694,SZ50 (SSE 50),All Trading Days
192,0.02721030573394004,1.2472903803428503,53.645833333333336,3.6458333333333335,15.104166666666666,18.229166666666664,6.25,40.10416666666667,SZ50 (SSE 50),3rd_Fri (Futures)
191,-0.040811461785228896,0.9314865848535245,49.21465968586388,1.5706806282722512,14.659685863874344,10.471204188481675,3.1413612565445024,48.167539267015705,SZ50 (SSE 50),4th_Wed (Option)
3867,0.016960123676100055,1.360045461272866,50.96974398758728,4.965089216446858,15.877941556762348,17.507111455908976,5.999482803206621,40.83268683734161,HS300 (CSI 300),All Trading Days
192,0.03445106909503795,1.3559267285474084,55.208333333333336,5.729166666666666,20.3125,21.875,5.729166666666666,39.58333333333333,HS300 (CSI 300),3rd_Fri (Futures)
191,-0.06557283141391497,1.040488840076394,49.21465968586388,3.1413612565445024,17.801047120418847,14.136125654450263,3.1413612565445024,45.54973821989529,HS300 (CSI 300),4th_Wed (Option)
3538,0.027456342042262008,1.5643192130820844,52.96777840587903,7.377049180327869,18.117580553985302,21.735443753533072,6.670435274166196,34.03052572074618,ZZ500 (CSI 500),All Trading Days
183,-0.17096373173133964,1.6859359209057068,48.08743169398907,12.021857923497267,20.21857923497268,23.497267759562842,6.0109289617486334,29.508196721311474,ZZ500 (CSI 500),3rd_Fri (Futures)
182,-0.15776384632065216,1.4628374865029152,50.0,10.43956043956044,20.87912087912088,19.230769230769234,3.8461538461538463,34.065934065934066,ZZ500 (CSI 500),4th_Wed (Option)
2776,0.02417101160837331,1.733206409271756,54.070605187319885,8.465417867435159,19.920749279538903,23.018731988472624,8.501440922190202,32.20461095100865,ZZ1000 (CSI 1000),All Trading Days
137,0.03048621413693767,1.4609768263883842,54.74452554744526,8.02919708029197,18.248175182481752,21.16788321167883,7.2992700729927,35.03649635036496,ZZ1000 (CSI 1000),4th_Wed (Option)
137,-0.014555086026873576,1.6011988447670211,52.55474452554745,9.48905109489051,19.708029197080293,24.817518248175183,4.37956204379562,31.386861313868614,ZZ1000 (CSI 1000),3rd_Fri (Futures)
