time,open,high,low,close,Volume
2026-01-05T09:30:00-05:00,619.3,619.98,617.79,617.97,398744
2026-01-05T09:35:00-05:00,617.98,618.35,617.04,617.47,190801
2026-01-05T09:40:00-05:00,617.49,618.53,616.72,618.27,155361
2026-01-05T09:45:00-05:00,618.27,619.01,617.28,618.15,158449
2026-01-05T09:50:00-05:00,618.15,618.79,617.6,618.4,90390
2026-01-05T09:55:00-05:00,618.33,618.74,617.46,618.11,93185
2026-01-05T10:00:00-05:00,618.19,619.16,617.43,619.04,110650
2026-01-05T10:05:00-05:00,619.13,619.45,618.64,619.35,92340
2026-01-05T10:10:00-05:00,619.37,619.46,618.82,619.14,58753
2026-01-05T10:15:00-05:00,619.21,619.7,618.85,619.67,102868
2026-01-05T10:20:00-05:00,619.72,619.75,619.16,619.73,61092
2026-01-05T10:25:00-05:00,619.7,620.23,619.06,619.96,147331
2026-01-05T10:30:00-05:00,620.01,620.39,619.85,620.23,104494
2026-01-05T10:35:00-05:00,620.23,620.32,619.44,619.53,56608
2026-01-05T10:40:00-05:00,619.52,619.94,619.12,619.2,42868
2026-01-05T10:45:00-05:00,619.2,619.71,619.2,619.59,15240
2026-01-05T10:50:00-05:00,619.57,619.83,619.27,619.46,40172
2026-01-05T10:55:00-05:00,619.52,619.93,619.22,619.79,34649
2026-01-05T11:00:00-05:00,619.78,620.01,619.465,619.88,43174
2026-01-05T11:05:00-05:00,619.91,620.43,619.73,620.31,47256
2026-01-05T11:10:00-05:00,620.32,620.54,619.96,619.97,69627
2026-01-05T11:15:00-05:00,619.97,620.27,619.87,620.06,55018
2026-01-05T11:20:00-05:00,620.07,620.34,620,620.3,43263
2026-01-05T11:25:00-05:00,620.285,620.38,620.16,620.245,44122
2026-01-05T11:30:00-05:00,620.24,620.54,620.06,620.09,62662
2026-01-05T11:35:00-05:00,620.09,620.44,620.02,620.27,57432
2026-01-05T11:40:00-05:00,620.3,620.315,619.74,620.13,44681
2026-01-05T11:45:00-05:00,620.15,620.76,620.13,620.67,55750
2026-01-05T11:50:00-05:00,620.67,620.79,620.1,620.18,83227
2026-01-05T11:55:00-05:00,620.19,620.2,619.61,619.63,66220
2026-01-05T12:00:00-05:00,619.67,619.99,619.52,619.8,47327
2026-01-05T12:05:00-05:00,619.79,619.89,619.43,619.55,26272
2026-01-05T12:10:00-05:00,619.56,619.99,619.31,619.95,39088
2026-01-05T12:15:00-05:00,619.96,619.98,619.3,619.42,28225
2026-01-05T12:20:00-05:00,619.37,619.44,618.9,618.995,38961
2026-01-05T12:25:00-05:00,618.95,619,618.62,618.9,60180
2026-01-05T12:30:00-05:00,618.94,618.96,618.43,618.64,31184
2026-01-05T12:35:00-05:00,618.63,619.02,618.59,618.91,32501
2026-01-05T12:40:00-05:00,618.91,619.01,618.54,618.58,40527
2026-01-05T12:45:00-05:00,618.57,619.1,618.53,618.91,24444
2026-01-05T12:50:00-05:00,618.91,618.94,618.55,618.75,36963
2026-01-05T12:55:00-05:00,618.74,618.98,618.64,618.89,16436
2026-01-05T13:00:00-05:00,618.89,619.02,618.7,618.89,18982
2026-01-05T13:05:00-05:00,618.85,618.88,618,618.32,53903
2026-01-05T13:10:00-05:00,618.33,618.45,618.08,618.19,46651
2026-01-05T13:15:00-05:00,618.19,618.19,617.22,617.73,135762
2026-01-05T13:20:00-05:00,617.71,618.25,617.45,618.24,81261
2026-01-05T13:25:00-05:00,618.24,618.43,618.05,618.39,47959
2026-01-05T13:30:00-05:00,618.38,618.63,618.29,618.46,41473
2026-01-05T13:35:00-05:00,618.44,618.5,618,618.42,33882
2026-01-05T13:40:00-05:00,618.43,618.74,618.37,618.7,36821
2026-01-05T13:45:00-05:00,618.71,618.87,618.67,618.67,52546
